bar_code,title,price,cost_price,count
1275609,"Напиток безалкогольный брожения квас ""яхонт трапезный"" фильтрованный пастеризованный",57.4285714286,45.0,1
2611499,"мороженое ванильное ""кум Ваня"". 90г",36.0,28.0,0
1300782,ХЛЕБ ПОКРОВСКИЙ 650Г ПОДОВЫЙ В НАРЕЗКЕ ЗОЛОТОЙ КОЛОС 1/6,28.2857142857,22.0,2
3027249,"СЫР ПЛАВЛЕННЫЙ ""HOCHLAND""  Сэндвич 60% ( 8 СЫРКОВ ) 140 Г",82.0,58.0,0
1154099,"Сигареты с фильтром ""Winston XS silver 105",108.578125,84.0,25
1644857,презерватив гармония,60.0,45.0,0
1685818,Дирол Сладкая мята,26.4285714286,21.0,2
2730308,Шоколад милки вей 1+1 52г,37.0909090909,29.0,2
2250465,Батон Нарезной  новый,20.0,17.0,0
1278281,"МУКА ""СТАРООСКОЛЬСКАЯ"" ПШЕНИЧНАЯ В/С 2 КГ",69.0,56.0,2
1278282,ГРЕЧНЕВАЯ КРУПА 400Г. КАРТОН 5Х80Г.(12МЕС) /КУБАНСКАЯ КУХНЯ/ *6,80.4375,66.0,3
333,"Пиво ""Клинское светлое"" светлое пастеризованное ПЭТФ 1,5 л",136.0,97.0,0
16721,"ПРОДУКТ ЙОГУРТНЫЙ ""СОЧНЫЙ МОЛОЧНЫЙ"" 1,2% В АСС-ТЕ 95 Г.",13.4545454545,11.0,2
1240121,приправа для шашлыка,15.0,12.0,0
8536,"Пиво светлое (пастеризованное) ""Арсенальное Крепкое"" в бут, Тула",58.2,46.0,2
1341498,"НАБОР КАРАНДАШЕЙ ЦВЕТНЫХ 12ЦВ ""ХАТБЕР""",105.0,78.0,0
1708384,Семечки Релакс 70г. стакан,23.5,18.0,0
49505,ЧИСТ/СРЕДСТВО ПЕМОЛЮКС МОРСКОЙ БРИЗ-СОДА (ИНД) 400ГР,77.0,64.0,0
12643,"СИГАРЕТЫ ""РОТМАНС"" SS BLUE 1ШТ.",76.7352941176,62.0,13
4459,"Пиво ""Сибирская корона классическое"" светлое пастеризованное АЛЮМИНИЕВАЯ БАНКА 0,5Л",56.4,45.0,2
2359667,Квас Настоящий майск 2л,51.9534883721,41.0,8
1948023,"арахис "" emarko "" 50гр.",23.0769230769,18.0,2
376,Ручка шариковая,15.0,11.0,1
1171833,"ЧАЙ ""ЛИПТОН"" ENGLISH BREAKFAST 25 ПАК В АССОРТ",70.0,53.0,0
8571,"МАЙОНЕЗ МАХЕЕВЪ ПРОВАНСАЛЬ 50,5% 770Г АКЦИЯ 06.04.-05.05.",97.9375,81.0,3
1456509,Бальзам ЧИСТАЯ ЛИНИЯ Пшеница для тонких и ослабленных волос 250мл,110.0,88.0,0
1270152,Вермишель № 30  Barilla 500 гр.,61.0,52.0,0
18829,"МАЙОНЕЗ ""ОЛИВКОВЫЙ"" СЛОБОДА 230Г (П/УП)",38.0769230769,29.0,2
3285390,"Чипсы Lay's из натур карт. со вкусом "" Аргентинские ребрышки""  150 гр",83.25,63.0,1
1384173,"КРУПА ПЕРЛОВАЯ ""ВОЛОЖКА"" 800ГР М/У",28.6666666667,23.0,0
1087888,МАЙОНЕЗ СЛОБОДА 100МЛ 67% ПРОВАНСАЛЬ Д/П ЭФКО  1/72,22.2222222222,18.0,3
1295768,ХЛЕБ ДАРНИЦКИЙ ПОДОВЫЙ 700Г В НАРЕЗКЕ КОЛОС 1/12,34.8316326531,28.0,39
35226,"ШОКОЛАД ""КРАСНЫЙ ОКТЯБРЬ"" ""АЛЕНКА"" МНОГО МОЛОКА + КАЛЬЦИЙ 100Г (4)",62.125,51.0,1
33182,LD RED,83.2941176471,67.0,6
12703,"КОФЕ ""NESCAFE"" GOLD 75ГР. М/У",221.714285714,181.0,1
37280,L@M FineCut TOBACCO,82.1,65.0,2
1470882,ВАФЛИ КЛАССИЧЕСКИЕ 260Г КОЛОС  1/15,56.7068965517,45.0,11
1294756,"Йогурт с соком черники ""Фруате"", 1,5 %, 450 гр, кувшин",38.6666666667,32.0,0
422,"Пиво светлое пастеризованное ""Хольстен Премиум"" в бут, Тула",76.5555555556,61.0,3
1321383,КИЛЬКА В ТОМ СОУСЕ 240Г МОРСКАЯ ДЕРЖАВА БАЛТ-ОСТ,24.0,19.0,7
1345960,стойкая крем- краска для волос,118.166666667,87.0,1
1470889,СУХАРИ ЛЕТНИЕ 350Г С ИЗЮМОМ КОЛОС 1/9,60.9230769231,50.0,2
37292,"ШОКОЛАД ""БАБАЕВСКИЙ"" ГОРЬКИЙ 100 Г.",73.5714285714,58.0,1
1730989,сигареты Djinns red,46.125,37.0,1
1345968,крем- оксид/6,38.5,32.0,1
27057,ШОКОЛАД АЛЕНКА МОЛОЧНЫЙ 200ГР. РУС.ШОКОЛАД,122.25,97.0,1
1335730,Сигареты Chesterfield red МРЦ 105,108.0,86.0,1
1874358,"Овсяная каша ""Геркулес"" в асс 35гр",17.4,14.0,2
12728,"КОРМ ""ЧАППИ"" С ГОВЯДИНОЙ ПО-ДОМАШНЕМУ 100Г",14.4,11.0,2
3230137,Сигареты  LD club Impulse ss 75,82.4533333333,66.0,15
1685947,"Чипсы ""Луковые кольца"" 35г. бекон",19.3333333333,15.0,0
1274303,"""Берн"" б/а энергетический напиток 0,5л",116.058823529,89.0,3
14752,"СИГАРЕТЫ ""ALIANCE ORIGINAL COMPACT"" (МРЦ 21,00;27,00;46,00;43,00, 59,00; 64,00)",82.7291666667,62.0,9
2062789,Сигареты с фильтром LD Club Compact IMPULSE мрц75 р,80.4,66.0,2
4551,"ЧАЙ ""GREENFIELD"" ЧЕРНИКА 37,5Г (25 Х 1,5Г)",91.0,76.0,0
1401292,"Сметана 20% 0,5 кг ИП",72.0,58.0,0
1106382,СЕМЕЧКИ ПОДСОЛНЕЧНИКА БОГУЧАРСКИЕ 40Г   1/50,10.2234042553,8.0,18
1210831,"ЧИПСЫ ""ЛЕЙС"" КРАБ 40 ГР.",27.380952381,22.0,4
